Title,NSE NAME
Welspun Enterprises Ltd.,"NSE: WELENT
                        
                        
                            |
                            BSE: 532553"
Zenith Steel Pipes & Industries Ltd.,"NSE: ZENITHSTL
                        
                        
                            |
                            BSE: 531845"
Goodluck India Ltd.,"NSE: GOODLUCK
                        
                        
                            |
                            BSE: 530655"
Manaksia Aluminium Company Ltd.,"NSE: MANAKALUCO
                        
                        
                            |
                            BSE: 539045"
Manaksia Coated Metals & Industries Ltd.,"NSE: MANAKCOAT
                        
                        
                            |
                            BSE: 539046"
Manaksia Steels Ltd.,"NSE: MANAKSTEEL
                        
                        
                            |
                            BSE: 539044"
Rama Steel Tubes Ltd.,"NSE: RAMASTEEL
                        
                        
                            |
                            BSE: 539309"
Shyam Century Ferrous Ltd.,"NSE: SHYAMCENT
                        
                        
                            |
                            BSE: 539252"
Bharat Wire Ropes Ltd.,"NSE: BHARATWIRE
                        
                        
                            |
                            BSE: 539799"
Bihar Sponge Iron Ltd.,BSE: 500058
Kirloskar Ferrous Industries Ltd.,BSE: 500245
Welspun Specialty Solutions Ltd.,BSE: 500365
ASI Industries Ltd.,BSE: 502015
Modulex Construction Technologies Ltd.,BSE: 504273
Uni Abex Alloy Products Ltd.,BSE: 504605
Indian Bright Steel Company Ltd.,"BSE: 504731
                        
                        
                        

                        
    |

GSM"
Rathi Steel & Power Ltd.,"BSE: 504903
                        
                        
                        

                        

    |

ASM"
Sandur Manganese & Iron Ores Ltd.,BSE: 504918
Tayo Rolls Ltd.,"BSE: 504961
                        
                        
                        

                        
    |

GSM"
La Tim Metal & Industries Ltd.,BSE: 505693
Sudal Industries Ltd.,BSE: 506003
Nitin Castings Ltd.,BSE: 508875
Sat Industries Ltd.,BSE: 511076
Scan Steels Ltd.,BSE: 511672
Deccan Gold Mines Ltd.,BSE: 512068
Lloyds Metals & Energy Ltd.,BSE: 512455
Chrome Silicon Ltd.,BSE: 513005
Remi Edelstahl Tubulars Ltd.,"BSE: 513043
                        
                        
                        

                        

    |

ASM"
Trans Freight Containers Ltd.,BSE: 513063
Modern Steels Ltd.,BSE: 513303
Synthiko Foils Ltd.,"BSE: 513307
                        
                        
                        

                        
    |

GSM"
Golkonda Aluminium Extrusions Ltd.,"BSE: 513309
                        
                        
                        

                        

    |

ASM"
India Steel Works Ltd.,"BSE: 513361
                        
                        
                        

                        

    |

ASM"
Vallabh Steels Ltd.,"BSE: 513397
                        
                        
                        

                        
    |

GSM"
Ashiana Ispat Ltd.,"BSE: 513401
                        
                        
                        

                        

    |

ASM"
Bloom Industries Ltd.,BSE: 513422
Kanishk Steel Industries Ltd.,BSE: 513456
Mahalaxmi Seamless Ltd.,"BSE: 513460
                        
                        
                        

                        
    |

GSM"
Shree Steel Wire Ropes Ltd.,BSE: 513488
Southern Magnesium & Chemicals Ltd.,BSE: 513498
Baroda Extrusion Ltd.,"BSE: 513502
                        
                        
                        

                        
    |

GSM"
Panchmahal Steel Ltd.,BSE: 513511
Aditya Ispat Ltd.,"BSE: 513513
                        
                        
                        

                        
    |

GSM"
Sharda Ispat Ltd.,BSE: 513548
Mahamaya Steel Industries Ltd.,"NSE: MAHASTEEL
                        
                        
                            |
                            BSE: 513554"
Nova Iron & Steel Ltd.,BSE: 513566
Foundry Fuel Products Ltd.,"BSE: 513579
                        
                        
                        

                        
    |

GSM"
KIC Metaliks Ltd.,BSE: 513693
MFS Intercorp Ltd.,"BSE: 513721
                        
                        
                        

                        
    |

GSM"
Suraj Products Ltd.,BSE: 518075
Eastcoast Steel Ltd.,"BSE: 520081
                        
                        
                        

                        
    |

GSM"
Indsil Hydro Power and Manganese Ltd.,BSE: 522165
Ahmedabad Steelcraft Ltd.,BSE: 522273
Cosmo Ferrites Ltd.,BSE: 523100
Midwest Gold Ltd.,"BSE: 526570
                        
                        
                        

                        
    |

GSM"
P G Foils Ltd.,BSE: 526747
Ashirwad Steels & Industries Ltd.,BSE: 526847
Heera Ispat Ltd.,"BSE: 526967
                        
                        
                        

                        
    |

GSM"
Shri Bajrang Alliance Ltd.,BSE: 526981
Nile Ltd.,BSE: 530129
Rajasthan Tube Manufacturing Company Ltd.,BSE: 530253
Garg Furnace Ltd.,BSE: 530615
National Fittings Ltd.,BSE: 531289
Rishabh Digha Steel & Allied Products Ltd.,"BSE: 531539
                        
                        
                        

                        
    |

GSM"
Suraj Ltd.,"BSE: 531638
                        
                        
                        

                        

    |

ASM"
National General Industries Ltd.,BSE: 531651
Kachchh Minerals Ltd.,BSE: 531778
Metal Coatings (India) Ltd.,BSE: 531810
Sacheta Metals Ltd.,BSE: 531869
Gopal Iron & Steels Co (Gujarat) Ltd.,"BSE: 531913
                        
                        
                        

                        
    |

GSM"
Hind Aluminium Industries Ltd.,BSE: 531979
Inducto Steel Ltd.,BSE: 532001
Monind Ltd.,"BSE: 532078
                        
                        
                        

                        
    |

GSM"
Nagpur Power & Industries Ltd.,"BSE: 532362
                        
                        
                        

                        

    |

ASM"
Facor Alloys Ltd.,BSE: 532656
Rathi Bars Ltd.,BSE: 532918
Shree Precoated Steels Ltd.,"BSE: 533110
                        
                        
                        

                        
    |

GSM"
Alliance Integrated Metaliks Ltd.,"BSE: 534064
                        
                        
                        

                        

    |

ASM"
JTL Industries Ltd.,"NSE: JTLIND
                        
                        
                            |
                            BSE: 534600"
Aerpace Industries Ltd.,"BSE: 534733
                        
                        
                        

                        
    |

GSM"
Steel Exchange India Ltd.,"NSE: STEELXIND
                        
                        
                            |
                            BSE: 534748"
Bothra Metals & Alloys Ltd.,BSE: 535279
RCI Industries & Technologies Ltd.,BSE: 537254
Incredible Industries Ltd.,"NSE: INCREDIBLE
                        
                        
                            |
                            BSE: 538365"
Bansal Roofing Products Ltd.,BSE: 538546
Unison Metals Ltd.,"BSE: 538610
                        
                        
                        

                        

    |

ASM"
Aanchal Ispat Ltd.,BSE: 538812
Beekay Steel Industries Ltd.,BSE: 539018
Palco Metals Ltd.,BSE: 539121
Arfin India Ltd.,BSE: 539151
Rudra Global Infra Products Ltd.,BSE: 539226
Umiya Tubes Ltd.,BSE: 539798
Hisar Metal Industries Ltd.,"NSE: HISARMETAL
                        
                        
                            |
                            BSE: 590018"
Tamil Nadu Steel Tubes  Ltd.,BSE: 513540
Maitri Enterprises Ltd.,"BSE: 513430
                        
                        
                        

                        
    |

GSM"
Shankara Building Products Ltd.,"NSE: SHANKARA
                        
                        
                            |
                            BSE: 540425"
Riddhi Steel and Tube Ltd.,BSE: 540082
Sarthak Metals Ltd.,"NSE: SMLT
                        
                        
                            |
                            BSE: 540393"
KIOCL Ltd.,"NSE: KIOCL
                        
                        
                            |
                            BSE: 540680"
Grand Foundry Ltd.,"NSE: GFSTEELS
                        
                        
                            |
                            BSE: 513343
                        
                        
                        

                        
    |

GSM"
Mukat Pipes Ltd.,BSE: 523832
Dhatre Udyog Ltd.,BSE: 540080
Bombay Wire Ropes Ltd.,BSE: 504648
Jash Engineering Ltd.,NSE: JASH
Madhav Copper Ltd.,NSE: MCL
Hi-Tech Pipes Ltd.,"NSE: HITECH
                        
                        
                            |
                            BSE: 543411"
Sagardeep Alloys Ltd.,NSE: SAGARDEEP
South West Pinnacle Exploration Ltd.,"NSE: SOUTHWEST
                        
                        
                            |
                            BSE: 543986"
Geekay Wires Ltd.,NSE: GEEKAYWIRE
MMP Industries Ltd.,NSE: MMP
D P Wires Ltd.,"NSE: DPWIRES
                        
                        
                            |
                            BSE: 543962"
Ganga Forging Ltd.,NSE: GANGAFORGE
Supershakti Metaliks Ltd.,BSE: 541701
Tembo Global Industries Ltd.,NSE: TEMBO
Supreme Engineering Ltd.,NSE: SUPREMEENG
Ahlada Engineers Ltd.,NSE: AHLADA
Rajnandini Metal Ltd.,NSE: RAJMET
Kritika Wires Ltd.,NSE: KRITIKA
Surani Steel Tubes Ltd.,NSE: SURANI
BMW Industries Ltd.,BSE: 542669
Bonlon Industries Ltd.,BSE: 543211
Shyam Metalics and Energy Ltd.,"NSE: SHYAMMETL
                        
                        
                            |
                            BSE: 543299"
Jainam Ferro Alloys (I) Ltd.,NSE: JAINAM
Tega Industries Ltd.,"NSE: TEGA
                        
                        
                            |
                            BSE: 543413"
Euro Panel Products Ltd.,NSE: EUROBOND
Hariom Pipe Industries Ltd.,"NSE: HARIOMPIPE
                        
                        
                            |
                            BSE: 543517"
Venus Pipes & Tubes Ltd.,"NSE: VENUSPIPES
                        
                        
                            |
                            BSE: 543528"
Mangalam Worldwide Ltd.,NSE: MWL
Rhetan TMT Ltd.,BSE: 543590
Harsha Engineers International Ltd.,"NSE: HARSHA
                        
                        
                            |
                            BSE: 543600"
Reetech International Cargo and Courier Ltd.,BSE: 543617
Swastik Pipe Ltd.,NSE: SWASTIK
Baheti Recycling Industries Ltd.,NSE: BAHETI
Chaman Metallics Ltd.,NSE: CMNL
Earthstahl & Alloys Ltd.,BSE: 543765
Shera Energy Ltd.,NSE: SHERA
NMDC Steel Ltd.,"NSE: NSLNISP
                        
                        
                            |
                            BSE: 543768"
Quality Foils (India) Ltd.,NSE: QFIL
Maiden Forgings Ltd.,BSE: 543874
A G Universal Ltd.,NSE: AGUL
De Neers Tools Ltd.,NSE: DENEERS
Cosmic CRF Ltd.,BSE: 543928
Aeroflex Industries Ltd.,"NSE: AEROFLEX
                        
                        
                            |
                            BSE: 543972"
Ratnaveer Precision Engineering Ltd.,"NSE: RATNAVEER
                        
                        
                            |
                            BSE: 543978"
Presstonic Engineering Ltd.,NSE: PRESSTONIC
Shree Marutinandan Tubes Ltd.,BSE: 544083
Vibhor Steel Tubes Ltd.,"NSE: VSTL
                        
                        
                            |
                            BSE: 544124"
Thaai Casting Ltd.,NSE: TCL
Deem Roll-Tech Ltd.,NSE: DEEM
Owais Metal and Mineral Processing Ltd.,NSE: OWAIS
Vruddhi Engineering Works Ltd.,"BSE: 544157
                        
                        
                        

                        

    |

ASM"
Aluwind Architectural Ltd.,NSE: ALUWIND
Sai Swami Metals and Alloys Ltd.,"BSE: 544170
                        
                        
                        

                        

    |

ASM"
