Title,NSE NAME
Shilchar Technologies Ltd.,"BSE: 531201
                        
                        
                        

                        

    |

ASM"
RTS Power Corporation Ltd.,BSE: 531215
Continental Controls Ltd.,"BSE: 531460
                        
                        
                        

                        
    |

GSM"
Cybele Industries Ltd.,BSE: 531472
Gorani Industries Ltd.,BSE: 531608
SGN Telecoms Ltd.,"BSE: 531812
                        
                        
                        

                        
    |

GSM"
B C Power Controls Ltd.,BSE: 537766
Ultracab (India) Ltd.,BSE: 538706
Amba Enterprises Ltd.,BSE: 539196
Relicab Cable Manufacturing Ltd.,BSE: 539760
Integra Switchgear Ltd.,"BSE: 517423
                        
                        
                        

                        
    |

GSM"
HPL Electric & Power Ltd.,"NSE: HPL
                        
                        
                            |
                            BSE: 540136"
Dixon Technologies (India) Ltd.,"NSE: DIXON
                        
                        
                            |
                            BSE: 540699"
RMC Switchgears Ltd.,BSE: 540358
Amber Enterprises India Ltd.,"NSE: AMBER
                        
                        
                            |
                            BSE: 540902"
S & S Power Switchgear Ltd.,"NSE: S&SPOWER
                        
                        
                            |
                            BSE: 517273"
Sabrimala Industries India Ltd.,BSE: 540132
Dynamic Cables Ltd.,"NSE: DYCL
                        
                        
                            |
                            BSE: 540795"
Jigar Cables Ltd.,BSE: 540651
Modern Insulators Ltd.,"BSE: 515008
                        
                        
                        

                        

    |

ASM"
Hardwyn India Ltd.,"NSE: HARDWYN
                        
                        
                            |
                            BSE: 541276"
Inflame Appliances Ltd.,BSE: 541083
Pulz Electronics Ltd.,NSE: PULZ
Servotech Power Systems Ltd.,NSE: SERVOTECH
Solex Energy Ltd.,NSE: SOLEX
Nitiraj Engineers Ltd.,NSE: NITIRAJ
Gretex Industries Ltd.,NSE: GRETEX
Perfect Infraengineers Ltd.,NSE: PERFECT
Orient Electric Ltd.,"NSE: ORIENTELEC
                        
                        
                            |
                            BSE: 541301"
Sonam Ltd.,NSE: SONAMLTD
Godha Cabcon & Insulation Ltd.,NSE: GODHA
Focus Lighting and Fixtures Ltd.,NSE: FOCUS
Spectrum Electrical Industries Ltd.,NSE: SPECTRUM
Polycab India Ltd.,"NSE: POLYCAB
                        
                        
                            |
                            BSE: 542652"
Artemis Electricals and Projects Ltd.,BSE: 542670
Dhanashree Electronics Ltd.,BSE: 542679
Wonder Electricals Ltd.,"NSE: WEL
                        
                        
                            |
                            BSE: 543449"
Hindware Home Innovation Ltd.,"NSE: HINDWAREAP
                        
                        
                            |
                            BSE: 542905"
Borosil Ltd.,"NSE: BOROLTD
                        
                        
                            |
                            BSE: 543212"
Advait Infratech Ltd.,"BSE: 543230
                        
                        
                        

                        

    |

ASM"
Stove Kraft Ltd.,"NSE: STOVEKRAFT
                        
                        
                            |
                            BSE: 543260"
V-Marc India Ltd.,NSE: VMARCIND
CWD Ltd.,BSE: 543378
Richa Info Systems Ltd.,NSE: RICHA
Eureka Forbes Ltd.,BSE: 543482
Syrma SGS Technology Ltd.,"NSE: SYRMA
                        
                        
                            |
                            BSE: 543573"
Virtuoso Optoelectronics Ltd.,BSE: 543597
Kaynes Technology India Ltd.,"NSE: KAYNES
                        
                        
                            |
                            BSE: 543664"
Arham Technologies Ltd.,NSE: ARHAM
Elin Electronics Ltd.,"NSE: ELIN
                        
                        
                            |
                            BSE: 543725"
Comrade Appliances Ltd.,BSE: 543921
IKIO Lighting Ltd.,"NSE: IKIO
                        
                        
                            |
                            BSE: 543923"
Greenchef Appliances Ltd,NSE: GREENCHEF
Sungarner Energies Ltd.,NSE: SEL
Rishabh Instruments Ltd.,"NSE: RISHABH
                        
                        
                            |
                            BSE: 543977"
Kundan Edifice Ltd.,NSE: KEL
R R Kabel Ltd.,"NSE: RRKABEL
                        
                        
                            |
                            BSE: 543981"
Marco Cables & Conductors Ltd.,NSE: MARCO
Plaza Wires Ltd.,"NSE: PLAZACABLE
                        
                        
                            |
                            BSE: 544003"
Akanksha Power and Infrastructure Ltd.,NSE: AKANKSHA
Cello World Ltd.,"NSE: CELLO
                        
                        
                            |
                            BSE: 544012"
EPACK Durables Ltd.,"NSE: EPACK
                        
                        
                            |
                            BSE: 544095"
Interiors & More Ltd.,NSE: INM
DCG Cables & Wires Ltd.,NSE: DCG
