Title,NSE NAME
Adani Ports & Special Economic Zone Ltd.,"NSE: ADANIPORTS
                        
                        
                            |
                            BSE: 532921"
Allcargo Logistics Ltd.,"NSE: ALLCARGO
                        
                        
                            |
                            BSE: 532749"
Arshiya Ltd.,"NSE: ARSHIYA
                        
                        
                            |
                            BSE: 506074"
Blue Dart Express Ltd.,"NSE: BLUEDART
                        
                        
                            |
                            BSE: 526612"
Dredging Corporation Of India Ltd.,"NSE: DREDGECORP
                        
                        
                            |
                            BSE: 523618
                        
                        
                        

                        

    |

ASM"
Essar Shipping Ltd.,"NSE: ESSARSHPNG
                        
                        
                            |
                            BSE: 533704
                        
                        
                        

                        

    |

ASM"
Allcargo Gati Ltd.,"NSE: ACLGATI
                        
                        
                            |
                            BSE: 532345"
Great Eastern Shipping Company Ltd.,"NSE: GESHIP
                        
                        
                            |
                            BSE: 500620"
Global Vectra Helicorp Ltd.,"NSE: GLOBALVECT
                        
                        
                            |
                            BSE: 532773"
Global Offshore Services Ltd.,BSE: 501848
Gujarat Pipavav Port Ltd.,"NSE: GPPL
                        
                        
                            |
                            BSE: 533248"
Jet Airways (India) Ltd.,"NSE: JETAIRWAYS
                        
                        
                            |
                            BSE: 532617"
Kernex Microsystems (India) Ltd.,"NSE: KERNEX
                        
                        
                            |
                            BSE: 532686"
Kesar Terminals & Infrastructure Ltd.,BSE: 533289
Patel Integrated Logistics Ltd.,"NSE: PATINTLOG
                        
                        
                            |
                            BSE: 526381"
Sanghvi Movers Ltd.,"NSE: SANGHVIMOV
                        
                        
                            |
                            BSE: 530073"
Shipping Corporation of India Ltd.,"NSE: SCI
                        
                        
                            |
                            BSE: 523598"
Seamec Ltd.,"NSE: SEAMECLTD
                        
                        
                            |
                            BSE: 526807"
Shreyas Shipping & Logistics Ltd.,"NSE: SHREYAS
                        
                        
                            |
                            BSE: 520151"
Sical Logistics Ltd.,"NSE: SICALLOG
                        
                        
                            |
                            BSE: 520086"
Snowman Logistics Ltd.,"NSE: SNOWMAN
                        
                        
                            |
                            BSE: 538635"
Transport Corporation of India Ltd.,"NSE: TCI
                        
                        
                            |
                            BSE: 532349"
TIL Ltd.,"NSE: TIL
                        
                        
                            |
                            BSE: 505196"
VRL Logistics Ltd.,"NSE: VRLLOG
                        
                        
                            |
                            BSE: 539118"
Navkar Corporation Ltd.,"NSE: NAVKARCORP
                        
                        
                            |
                            BSE: 539332"
InterGlobe Aviation Ltd.,"NSE: INDIGO
                        
                        
                            |
                            BSE: 539448"
North Eastern Carrying Corporation Ltd.,"NSE: NECCLTD
                        
                        
                            |
                            BSE: 534615"
Spicejet Ltd.,"BSE: 500285
                        
                        
                        

                        

    |

ASM"
Chowgule Steamships Ltd.,BSE: 501833
Flomic Global Logistics Ltd.,BSE: 504380
Garware Marine Industries Ltd.,"BSE: 509563
                        
                        
                        

                        
    |

GSM"
ABC India Ltd.,BSE: 520123
Balurghat Technologies Ltd.,BSE: 520127
Coastal Roadways Ltd.,BSE: 520131
Starlog Enterprises Ltd.,BSE: 520155
Taneja Aerospace & Aviation Ltd.,BSE: 522229
Sanco Trans Ltd.,BSE: 523116
Sika Interplant Systems Ltd.,"BSE: 523606
                        
                        
                        

                        

    |

ASM"
Shahi Shipping Ltd.,BSE: 526508
MFL India Ltd.,"BSE: 526622
                        
                        
                        

                        
    |

GSM"
Mahasagar Travels Ltd.,BSE: 526795
Hariyana Ship-Breakers Ltd.,BSE: 526931
Inter State Oil Carrier Ltd.,BSE: 530259
Chartered Logistics Ltd.,BSE: 531977
Frontline Corporation Ltd.,BSE: 532042
VMS Industries Ltd.,BSE: 533427
Tiger Logistics (India) Ltd.,BSE: 536264
Laxmipati Engineering Works Ltd.,BSE: 537669
Lancer Container Lines Ltd.,BSE: 539841
TAAL Enterprises Ltd.,BSE: 539956
East West Holdings Ltd.,BSE: 540006
TCI Express Ltd.,"NSE: TCIEXP
                        
                        
                            |
                            BSE: 540212"
Cochin Shipyard Ltd.,"NSE: COCHINSHIP
                        
                        
                            |
                            BSE: 540678"
Mahindra Logistics Ltd.,"NSE: MAHLOG
                        
                        
                            |
                            BSE: 540768"
Future Supply Chain Solutions Ltd.,"NSE: FSC
                        
                        
                            |
                            BSE: 540798
                        
                        
                        

                        
    |

GSM"
Containerway International Ltd.,"BSE: 540597
                        
                        
                        

                        
    |

GSM"
Shreeji Translogistics Ltd.,BSE: 540738
Crown Lifters Ltd.,NSE: CROWN
AVG Logistics Ltd.,"NSE: AVG
                        
                        
                            |
                            BSE: 543910"
Maheshwari Logistics Ltd.,NSE: MAHESHWARI
Orissa Bengal Carrier Ltd.,"NSE: OBCL
                        
                        
                            |
                            BSE: 541206
                        
                        
                        

                        

    |

ASM"
Jalan Transolutions (India) Ltd.,NSE: JALAN
Jet Freight Logistics Ltd.,"NSE: JETFREIGHT
                        
                        
                            |
                            BSE: 543420"
Globe International Carriers Ltd.,NSE: GICL
Total Transport Systems Ltd.,NSE: TOTAL
Shree Vasu Logistics Ltd.,NSE: SVLL
Accuracy Shipping Ltd.,NSE: ACCURACY
Garden Reach Shipbuilders & Engineers Ltd.,"NSE: GRSE
                        
                        
                            |
                            BSE: 542011"
Ritco Logistics Ltd.,"NSE: RITCO
                        
                        
                            |
                            BSE: 542383"
Seacoast Shipping Services Ltd.,BSE: 542753
DJ Mediaprint & Logistics Ltd.,BSE: 543193
Knowledge Marine & Engineering Works Ltd.,BSE: 543273
Destiny Logistics & Infra Ltd.,NSE: DESTINY
Timescan Logistics (India) Ltd.,NSE: TIMESCAN
Gateway Distriparks Ltd.,"NSE: GATEWAY
                        
                        
                            |
                            BSE: 543489"
Delhivery Ltd.,"NSE: DELHIVERY
                        
                        
                            |
                            BSE: 543529"
Cargotrans Maritime Ltd.,BSE: 543618
Cargosol Logistics Ltd.,BSE: 543621
Amiable Logistic (India) Ltd.,NSE: AMIABLE
Droneacharya Aerial Innovations Ltd.,BSE: 543713
Transvoy Logistics India Ltd.,"BSE: 543754
                        
                        
                        

                        

    |

ASM"
Committed Cargo Care Ltd.,NSE: COMMITTED
Zeal Global Services Ltd.,NSE: ZEAL
TVS Supply Chain Solutions Ltd.,"NSE: TVSSCS
                        
                        
                            |
                            BSE: 543965"
Allcargo Terminals Ltd.,BSE: 543954
JSW Infrastructure Ltd.,"NSE: JSWINFRA
                        
                        
                            |
                            BSE: 543994"
Oneclick Logistics Ltd.,NSE: OLIL
Arvind and Company Shipping Agencies Ltd.,NSE: ACSAL
Marinetrans India Ltd.,NSE: MARINETRAN
S J Logistics (India) Ltd.,NSE: SJLOGISTIC
Shree OSFM E-Mobility Ltd.,NSE: SHREEOSFM
Sahara Maritime Ltd.,BSE: 544056
Kaushalya Logistics Ltd.,NSE: KLL
Wise Travel India Ltd.,NSE: WTICAB
Sadhav Shipping Ltd.,NSE: SADHAV
Gconnect Logitech and Supply Chain Ltd.,"BSE: 544156
                        
                        
                        

                        

    |

ASM"
ABS Marine Services Ltd.,NSE: ABSMARINE
Premier Roadlines Ltd.,NSE: PRLIND
